Smartfilters,Group / Team,,,Asset Type,,,,Product,,,,,,,,Details,,,,Campaign,,Year,,,,,,,Remove,,
Metaproperties,Group,Client Team (brand),Dependency,Asset Type,Asset Subtype,Dependency,File Extension,Product Group,Dependency (on Client Team),Product,Dependency (on Client Team),Product Subtype,Dependency (on Product),Product Size,Dependency (on Product Group),Sport,Person,Gender,Number of People,Campaign,Dependency (on brand),Year,Platform Rights,Job ID,Shot Type,Market,Team Marks,Asset Status,Asset Quality,Product Gender,Dependency (on brand)
,,,,,,,,Ambulance Cots,Stryker,Spirit Plus Low Bed,Styker,,,,,,Sweat Chicago,,,Every Ounce Counts,Gatorade,,,,,,,,,,
,,,,,,,,Cot Fasteners,Stryker,Spirit Select Low Bed,Styker,,,,,,Fitness in the City,,,G Organic,Gatorade,,,,,,,,,,
,,,,,,,,Cot Accessories,Stryker,ProForm,Styker,,,,,,Tone House,,,GSSI,Gatorade,,,,,,,,,,
,,,,,,,,Powered Cots,Stryker,Comfort Gel,Styker,,,,,,Emily Hutchins,,,Be Like Mike,Gatorade,,,,,,,,,,
,,,,,,,,Powered Fasteners,Stryker,IsoFlex LAL,Styker,,,,,,Fit36,,,,,,,,,,,,,,
,,,,,,,,Stair Chairs,Stryker,PositionPRO,Styker,,,,,,Fast Twitch,,,,,,,,,,,,,,
,,,,,,,,Unflavored Water,Propel,TruRize,Styker,,,,,,ModelFIT,,,,,,,,,,,,,,
,,,,,,,,Flavored Water,Propel,Michael Graves with Stryker Bedside Cabinet,Styker,,,,,,Prevail Boxing,,,,,,,,,,,,,,
,,,,,,,,Powder Pack,Propel,Michael Graves with Stryker Bedside Stand,Styker,,,,,,Speedplay,,,,,,,,,,,,,,
,,,,,,,,Running,New Balance,Michael Graves with Stryker Overbed Table,Styker,,,,,,The Class,,,,,,,,,,,,,,
,,,,,,,,Lifestyle,New Balance,Michael Graves with Stryker Patient Chair,Styker,,,,,,Yoga For Bad People,,,,,,,,,,,,,,
,,,,,,,,Training,New Balance,Bedside Stand,Styker,,,,,,Blogger,,,,,,,,,,,,,,
,,,,,,,,Walking,New Balance,Tru-Fit Overbed Table,Styker,,,,,,Trayvon Bromell,,,,,,,,,,,,,,
